species,category,pattern_type,peak_frequency,min_frequency,min_max_ratio,weeks_with_presence,num_valleys,valleys,valley_types,is_overwintering,edge_case_flags
American Goldfinch,resident,year-round,0.545982,0.224532,0.4112,48,0,,,No,seasonal_variation
Lapland Longspur,two-passage-migrant,two-passage,0.011161,0.0,0.0,32,2,6-42;44-47,summer|winter,Yes,classic_bimodal
Snow Bunting,single-season,winter,0.017091,0.0,0.0,21,1,6-41,summer,Yes,overwintering
Bachman's Sparrow,vagrant,irregular,0.0015,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Grasshopper Sparrow,single-season,summer,0.019688,0.0,0.0,14,1,27-18,winter,No,low_presence
Chipping Sparrow,single-season,summer,0.178571,0.0,0.0,46,1,39-12,winter,No,
Clay-colored Sparrow,single-season,summer,0.011486,0.0,0.0,19,1,25-15,winter,No,
Field Sparrow,single-season,summer,0.075795,0.000333,0.0044,48,1,40-11,winter,No,
Lark Sparrow,vagrant,irregular,0.0015,0.0,0.0,8,1,0-47,winter,No,low_peak_frequency|low_annual_presence
American Tree Sparrow,single-season,winter,0.22792,0.0,0.0,30,1,15-38,summer,Yes,overwintering
Fox Sparrow,single-season,winter,0.06118,0.0,0.0,32,1,15-36,summer,Yes,overwintering
Dark-eyed Junco,single-season,winter,0.465352,0.0,0.0,37,1,16-36,summer,Yes,overwintering
White-crowned Sparrow,two-passage-migrant,two-passage,0.222654,0.0,0.0,39,2,19-35;41-14,summer|winter,Yes,classic_bimodal
Golden-crowned Sparrow,vagrant,irregular,0.009513,0.0,0.0,17,2,1-39;41-47,summer|winter,Yes,classic_bimodal|low_annual_presence
Harris's Sparrow,vagrant,irregular,0.007649,0.0,0.0,13,1,2-47,summer,Yes,overwintering|low_presence|low_annual_presence
White-throated Sparrow,single-season,winter,0.380873,0.0,0.0,42,1,19-34,summer,No,overwintering
Vesper Sparrow,vagrant,irregular,0.004666,0.0,0.0,27,1,0-47,winter,No,low_peak_frequency
Nelson's Sparrow,vagrant,irregular,0.003317,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Savannah Sparrow,single-season,summer,0.117732,0.0,0.0,35,1,30-12,winter,No,
Henslow's Sparrow,two-passage-migrant,two-passage,0.006836,0.0,0.0,15,2,16-21;24-14,summer|winter,No,classic_bimodal
Song Sparrow,resident,year-round,0.401746,0.055022,0.137,48,0,,,No,seasonal_variation|min_max_near_boundary
Lincoln's Sparrow,two-passage-migrant,two-passage,0.058072,0.0,0.0,30,2,19-33;40-15,summer|winter,No,classic_bimodal
Swamp Sparrow,two-passage-migrant,two-passage,0.116639,0.004233,0.0363,48,2,5-12;28-34,winter|summer,No,classic_bimodal
Green-tailed Towhee,vagrant,irregular,0.002072,0.0,0.0,6,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Spotted Towhee,vagrant,irregular,0.003071,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Eastern Towhee,two-passage-migrant,two-passage,0.088336,0.000868,0.0098,48,2,31-35;43-10,summer|winter,No,classic_bimodal
