









Frequency of observations in the selected location(s).:
Number of taxa: 	412

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Canada Goose	0.0108108	0.0	0.0190476	0.0	0.0081301	0.0092593	0.0084746	0.0142857	0.0761905	0.2982456	0.2605634	0.3902439	0.3793103	0.3846154	0.3418605	0.3654391	0.3379845	0.2803618	0.2078431	0.2099567	0.1964912	0.1728723	0.1312	0.1181208	0.1079137	0.1125176	0.1282953	0.1574179	0.2026359	0.1658842	0.2064846	0.1739645	0.1287879	0.1730475	0.2366771	0.2589641	0.1936508	0.1972318	0.1803279	0.1637011	0.1488251	0.1033435	0.047619	0.037037	0.0254777	0.0180723	0.0072993	0.0206897	
Cackling/Canada Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0076628	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0017301	0.0020492	0.0015	0.0015	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	
Mute Swan	0.0015	0.0227273	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011696	0.0026596	0.0	0.0080537	0.0014388	0.0028129	0.0087873	0.00453	0.0032949	0.0	0.0	0.0035503	0.0	0.0045942	0.0047022	0.001328	0.0015873	0.0034602	0.0	0.0	0.0	0.006079	0.0	0.0	0.0	0.0	0.0	0.0068966	
Trumpeter Swan	0.1243243	0.0454545	0.0190476	0.0142857	0.0650407	0.0555556	0.0423729	0.0714286	0.0666667	0.122807	0.1619718	0.0914634	0.0574713	0.0357143	0.0348837	0.0169972	0.0356589	0.0271318	0.0222222	0.0396825	0.0339181	0.0279255	0.0336	0.0187919	0.018705	0.0084388	0.0193322	0.0147225	0.0263591	0.0234742	0.0409556	0.0710059	0.0189394	0.0336907	0.0282132	0.0212483	0.0174603	0.0432526	0.0737705	0.0480427	0.0704961	0.0455927	0.029304	0.0407407	0.044586	0.0361446	0.0656934	0.0137931	
Tundra Swan	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0070423	0.0	0.0	0.0082418	0.0	0.0042493	0.0	0.0	0.0015	0.001443	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0034602	0.0081967	0.0017794	0.002611	0.006079	0.003663	0.0037037	0.0	0.0	0.0	0.0	
Trumpeter/Tundra Swan	0.0	0.0113636	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0060976	0.0	0.0	0.0023256	0.0	0.0	0.0	0.0	7.215E-4	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0017301	0.0020492	0.0	0.0052219	0.0015	0.0	0.0037037	0.0	0.0	0.0	0.0	
swan sp.	0.0054054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0070423	0.0	0.0	0.0	0.0	0.0014164	0.0	0.0	0.0	7.215E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015649	0.0	0.0011834	0.0	0.0015314	0.0	0.001328	0.0015	0.0	0.0	0.0017794	0.002611	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	
goose sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0027473	0.0	0.0	0.0015504	0.0	0.0	7.215E-4	0.0	0.0013298	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001328	0.0	0.0017301	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Wood Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.045977	0.0659341	0.0697674	0.0609065	0.0496124	0.0387597	0.0392157	0.0425685	0.0538012	0.0771277	0.0512	0.0442953	0.0460432	0.0379747	0.0509666	0.0690827	0.07743	0.1126761	0.1211604	0.1325444	0.1155303	0.101072	0.0924765	0.0982736	0.0634921	0.0484429	0.0389344	0.024911	0.002611	0.0030395	0.0	0.0	0.0	0.0	0.0	0.0	
Blue-winged Teal	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0076628	0.0247253	0.0488372	0.0807365	0.0604651	0.0361757	0.0222222	0.027417	0.0128655	0.0106383	0.0016	0.0040268	0.0028777	0.0028129	0.0035149	0.00453	0.0214168	0.0203443	0.059727	0.0934911	0.0416667	0.0444104	0.0250784	0.0305445	0.0174603	0.0207612	0.0184426	0.0071174	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Northern Shoveler	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0038314	0.0137363	0.0116279	0.0254958	0.027907	0.0129199	0.0117647	0.0122655	0.0093567	0.0013298	0.0016	0.0013423	0.0014388	0.0014065	0.0	0.0011325	0.0	0.0031299	0.0	0.0071006	0.0075758	0.0030628	0.007837	0.0053121	0.0	0.0034602	0.0020492	0.0017794	0.0	0.0	0.003663	0.0	0.0	0.0	0.0	0.0	
Gadwall	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0023256	0.0042493	0.0015504	0.002584	0.0026144	0.004329	0.005848	0.0013298	0.0	0.0	0.0	0.0	0.0017575	0.002265	0.0016474	0.0015	0.0017065	0.0047337	0.0018939	0.0030628	0.0047022	0.0053121	0.0015873	0.0069204	0.0245902	0.0017794	0.0	0.0	0.003663	0.0	0.0	0.0	0.0	0.0	
American Wigeon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0087719	0.0	0.0060976	0.0076628	0.0274725	0.0372093	0.0580737	0.0217054	0.0103359	0.0039216	0.0036075	0.0011696	0.0013298	0.0048	0.0013423	0.0014388	0.0014065	0.0017575	0.0011325	0.0015	0.0	0.0	0.0106509	0.0208333	0.0107198	0.0203762	0.0146082	0.0063492	0.0224913	0.0348361	0.0088968	0.0	0.0	0.003663	0.0	0.0	0.0	0.0	0.0	
Mallard	0.3297297	0.3181818	0.2095238	0.2	0.1788618	0.0925926	0.1355932	0.2142857	0.1714286	0.3333333	0.2887324	0.2804878	0.3141762	0.3653846	0.3418605	0.3626062	0.2635659	0.2648579	0.2156863	0.2215007	0.2315789	0.1994681	0.1728	0.1651007	0.1625899	0.1715893	0.1564148	0.1698754	0.1630972	0.1956182	0.2081911	0.208284	0.1685606	0.1500766	0.1489028	0.1792829	0.1492063	0.1851211	0.2418033	0.2758007	0.2506527	0.2097264	0.2710623	0.2592593	0.2420382	0.2228916	0.2408759	0.2758621	
American Black Duck	0.0810811	0.1022727	0.047619	0.0571429	0.0487805	0.0277778	0.0423729	0.0714286	0.0761905	0.0614035	0.0422535	0.0365854	0.0306513	0.0192308	0.0325581	0.0254958	0.0062016	0.0064599	0.0026144	7.215E-4	0.0011696	0.0039894	0.0048	0.0040268	0.0015	0.0042194	0.0052724	0.01359	0.0131796	0.0172144	0.0204778	0.035503	0.0246212	0.0153139	0.0188088	0.0119522	0.0095238	0.0242215	0.045082	0.0427046	0.0313316	0.0243161	0.047619	0.0444444	0.0509554	0.0542169	0.0656934	0.0758621	
Mallard x American Black Duck (hybrid)	0.0	0.0	0.0095238	0.0071429	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0060976	0.0	0.010989	0.0023256	0.0028329	0.0	0.0	0.0	0.0	0.0	0.0013298	0.0	0.0	0.0	0.0	0.0017575	0.0011325	0.0	0.0	0.0017065	0.0	0.0	0.0	0.0015674	0.001328	0.0	0.0	0.0020492	0.0017794	0.0	0.0121581	0.003663	0.0	0.0	0.0	0.0	0.0068966	
Mallard/American Black Duck	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011696	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015873	0.0	0.0040984	0.0017794	0.0	0.0030395	0.0	0.0	0.0	0.0060241	0.0	0.0	
Northern Pintail	0.0054054	0.0015	0.0015	0.0071429	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0076628	0.010989	0.0116279	0.0127479	0.0046512	0.003876	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0017065	0.0047337	0.0056818	0.0045942	0.0062696	0.0066401	0.0079365	0.0121107	0.0471311	0.0284698	0.0234987	0.0151976	0.003663	0.0	0.0063694	0.0	0.0	0.0137931	
