species,category,pattern_type,peak_frequency,min_frequency,min_max_ratio,weeks_with_presence,num_valleys,valleys,valley_types,is_overwintering,edge_case_flags
California Gull,vagrant,irregular,0.001401,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Iceland Gull,single-season,winter,0.016012,0.0,0.0,25,1,9-46,summer,Yes,overwintering
Caspian Tern,single-season,summer,0.078283,0.0,0.0,26,1,35-13,winter,No,
Black Tern,single-season,summer,0.006613,0.0,0.0,19,1,25-20,winter,No,
Forster's Tern,two-passage-migrant,two-passage,0.050324,0.0,0.0,28,2,22-25;40-16,summer|winter,No,classic_bimodal
Common Tern,two-passage-migrant,two-passage,0.057513,0.0,0.0,26,2,20-27;40-16,summer|winter,No,classic_bimodal
Royal Tern,vagrant,irregular,0.010226,0.0,0.0,1,1,20-18,winter,No,low_annual_presence
Pied-billed Grebe,two-passage-migrant,two-passage,0.107035,0.000833,0.0078,48,2,17-30;43-8,summer|winter,No,classic_bimodal
Horned Grebe,two-passage-migrant,two-passage,0.067823,0.0,0.0,34,2,1-6;16-38,winter|summer,Yes,classic_bimodal
Red-necked Grebe,two-passage-migrant,two-passage,0.008192,0.0,0.0,17,2,12-37;40-9,summer|winter,No,classic_bimodal
Eared Grebe,two-passage-migrant,two-passage,0.010212,0.0,0.0,13,2,0-13;15-45,winter|summer,No,classic_bimodal|low_presence
Western Grebe,vagrant,irregular,0.007278,0.0,0.0,4,1,1-42,summer,Yes,low_annual_presence
Red-throated Loon,single-season,winter,0.032994,0.0,0.0,28,1,12-37,summer,Yes,overwintering
Common Loon,two-passage-migrant,two-passage,0.05205,0.0,0.0,41,2,2-10;16-37,winter|summer,No,classic_bimodal
Double-crested Cormorant,single-season,summer,0.296909,0.001652,0.0056,48,1,42-11,winter,No,
Neotropic Cormorant,vagrant,irregular,0.001042,0.0,0.0,2,1,0-47,winter,No,low_peak_frequency|low_annual_presence
White-faced Ibis,vagrant,irregular,0.000347,0.0,0.0,2,1,0-47,winter,No,low_peak_frequency|low_annual_presence
American Bittern,single-season,summer,0.022402,0.0,0.0,20,1,22-12,winter,No,
Least Bittern,single-season,summer,0.017634,0.0,0.0,20,1,32-18,winter,No,
Yellow-crowned Night Heron,vagrant,irregular,0.001358,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Black-crowned Night Heron,two-passage-migrant,two-passage,0.030664,0.0,0.0,39,2,16-24;38-13,summer|winter,No,classic_bimodal
Snowy Egret,vagrant,irregular,0.0015,0.0,0.0,5,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Green Heron,single-season,summer,0.185118,0.0,0.0,28,1,36-14,winter,No,
Western Cattle-Egret,vagrant,irregular,0.004949,0.0,0.0,8,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Great Egret,two-passage-migrant,two-passage,0.117677,0.0,0.0,35,2,17-21;40-12,summer|winter,No,classic_bimodal
Great Blue Heron,resident,year-round,0.304546,0.032058,0.1053,48,0,,,No,seasonal_variation|min_max_near_boundary
American White Pelican,two-passage-migrant,two-passage,0.020626,0.0,0.0,27,2,23-35;40-12,summer|winter,No,classic_bimodal
Brown Pelican,vagrant,irregular,0.0015,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Turkey Vulture,single-season,summer,0.212758,0.0,0.0,45,1,40-8,winter,No,
Osprey,single-season,summer,0.077778,0.0,0.0,32,1,36-11,winter,No,
Swallow-tailed Kite,vagrant,irregular,0.009828,0.0,0.0,1,1,31-29,winter,No,low_annual_presence
Golden Eagle,vagrant,irregular,0.0015,0.0,0.0,10,1,0-47,winter,No,low_peak_frequency|low_presence
Sharp-shinned Hawk,single-season,winter,0.035714,0.0,0.0,42,1,18-32,summer,No,overwintering
Cooper's Hawk,resident,year-round,0.074118,0.013761,0.1857,48,0,,,No,seasonal_variation|min_max_near_boundary
Northern Harrier,two-passage-migrant,two-passage,0.018533,0.0,0.0,45,2,0-7;17-30,winter|summer,No,classic_bimodal
Bald Eagle,resident,year-round,0.178392,0.03128,0.1753,48,0,,,No,seasonal_variation|min_max_near_boundary
Mississippi Kite,vagrant,irregular,0.000241,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Broad-winged Hawk,two-passage-migrant,two-passage,0.017254,0.0,0.0,26,2,26-32;37-13,summer|winter,No,classic_bimodal
Red-shouldered Hawk,resident,year-round,0.040936,0.004163,0.1017,48,0,,,No,seasonal_variation|min_max_near_boundary
Swainson's Hawk,vagrant,irregular,0.001488,0.0,0.0,2,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Red-tailed Hawk,resident,year-round,0.195741,0.100511,0.5135,48,0,,,No,
Rough-legged Hawk,single-season,winter,0.0286,0.0,0.0,29,1,10-38,summer,Yes,overwintering
Ferruginous Hawk,vagrant,irregular,0.0015,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
American Barn Owl,vagrant,irregular,0.0015,0.0,0.0,3,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Eastern Screech-Owl,single-season,winter,0.027231,0.0,0.0,47,1,20-32,summer,No,overwintering
Snowy Owl,single-season,winter,0.055227,0.0,0.0,25,1,9-41,summer,Yes,overwintering
Great Horned Owl,single-season,winter,0.022393,0.000744,0.0332,48,1,18-29,summer,No,overwintering
