









Frequency of observations in the selected location(s).:
Number of taxa: 	386

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	112.0	94.0	145.0	125.0	115.0	192.0	197.0	63.0	58.0	55.0	78.0	163.0	145.0	154.0	157.0	330.0	272.0	381.0	561.0	986.0	668.0	509.0	379.0	598.0	361.0	409.0	358.0	419.0	260.0	303.0	290.0	555.0	305.0	339.0	290.0	426.0	331.0	478.0	282.0	383.0	184.0	136.0	89.0	105.0	60.0	36.0	166.0	100.0	

Mute Swan	0.0446429	0.0851064	0.0689655	0.032	0.0695652	0.0208333	0.0203046	0.0634921	0.0344828	0.1272727	0.1410256	0.2147239	0.1655172	0.1818182	0.1146497	0.1666667	0.125	0.1496063	0.1586453	0.1572008	0.1377246	0.1060904	0.1055409	0.0769231	0.0387812	0.0562347	0.0698324	0.0644391	0.05	0.0330033	0.0689655	0.0558559	0.0721311	0.079646	0.0827586	0.1056338	0.1178248	0.0753138	0.1631206	0.2088773	0.2282609	0.2279412	0.1348315	0.2	0.3	0.1111111	0.1024096	0.15	
Trumpeter Swan	0.0535714	0.0106383	0.0206897	0.008	0.0086957	0.0015	0.0050761	0.015873	0.0172414	0.0015	0.0128205	0.006135	0.0137931	0.038961	0.0318471	0.030303	0.0294118	0.0209974	0.0160428	0.0182556	0.0149701	0.0275049	0.0290237	0.006689	0.0110803	0.00489	0.0111732	0.0047733	0.0038462	0.0015	0.0103448	0.0144144	0.0098361	0.0117994	0.0034483	0.0140845	0.0271903	0.0167364	0.0602837	0.0156658	0.0380435	0.0294118	0.0786517	0.0761905	0.05	0.0277778	0.0120482	0.02	
Tundra Swan	0.0178571	0.0	0.0206897	0.008	0.0086957	0.0052083	0.0050761	0.0	0.0	0.0	0.0	0.0122699	0.0068966	0.012987	0.0127389	0.0242424	0.0073529	0.0026247	0.0015	0.0040568	0.004491	0.0058939	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0035461	0.0365535	0.0978261	0.1691176	0.1235955	0.1333333	0.0333333	0.0	0.0421687	0.03	
Trumpeter/Tundra Swan	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.006135	0.0	0.012987	0.0063694	0.0060606	0.0073529	0.0026247	0.0	0.0	0.001497	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0020921	0.0	0.0	0.0054348	0.0073529	0.0	0.0095238	0.0166667	0.0	0.0015	0.05	
swan sp.	0.0089286	0.0	0.0	0.0	0.0015	0.0	0.0101523	0.015873	0.0	0.0	0.025641	0.0490798	0.0206897	0.0324675	0.0382166	0.0181818	0.0073529	0.0052493	0.0053476	0.0060852	0.004491	0.0	0.005277	0.0015	0.0	0.0	0.0	0.0	0.0076923	0.0015	0.0	0.0018018	0.0032787	0.0015	0.0068966	0.0	0.0	0.0020921	0.0070922	0.002611	0.0	0.0	0.0	0.0	0.0333333	0.0	0.0120482	0.0	
Wood Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0128205	0.0245399	0.0689655	0.0649351	0.0764331	0.0484848	0.0257353	0.023622	0.0196078	0.0233266	0.0374251	0.0294695	0.0158311	0.0267559	0.0166205	0.0171149	0.0195531	0.0381862	0.0153846	0.0363036	0.0275862	0.0486486	0.0655738	0.0294985	0.0448276	0.0375587	0.0090634	0.0104603	0.0177305	0.002611	0.0054348	0.0073529	0.0	0.0	0.0	0.0	0.0	0.0	
Blue-winged Teal	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0275862	0.0194805	0.089172	0.0939394	0.0992647	0.0446194	0.030303	0.0314402	0.0209581	0.0117878	0.005277	0.0016722	0.0055402	0.002445	0.0	0.0047733	0.0038462	0.0066007	0.0275862	0.0468468	0.0885246	0.0589971	0.0448276	0.0352113	0.0090634	0.0062762	0.0106383	0.0052219	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Northern Shoveler	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0122699	0.0137931	0.0454545	0.0509554	0.0666667	0.0625	0.0183727	0.0178253	0.0070994	0.004491	0.0078585	0.0	0.0016722	0.0015	0.0	0.0027933	0.0	0.0	0.0033003	0.0	0.0054054	0.0065574	0.0058997	0.0275862	0.0234742	0.0060423	0.0041841	0.0106383	0.0	0.0	0.0	0.011236	0.0	0.0	0.0	0.0	0.0	
Gadwall	0.0015	0.0212766	0.0	0.0	0.0	0.0	0.0	0.0	0.0172414	0.0	0.0	0.0122699	0.0	0.0454545	0.0955414	0.0909091	0.0698529	0.0472441	0.0320856	0.0334686	0.0329341	0.0196464	0.0184697	0.0050167	0.0055402	0.007335	0.0	0.0023866	0.0076923	0.0033003	0.0034483	0.0198198	0.0262295	0.0088496	0.0344828	0.0586854	0.0513595	0.0313808	0.0496454	0.075718	0.0271739	0.0147059	0.0337079	0.0095238	0.05	0.0	0.0060241	0.0015	
Eurasian Wigeon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0110294	0.0026247	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
American Wigeon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0172414	0.0	0.0	0.0306748	0.0551724	0.1168831	0.1210191	0.1666667	0.1176471	0.0446194	0.0516934	0.0476673	0.0299401	0.0235756	0.0158311	0.0016722	0.0	0.002445	0.0027933	0.0071599	0.0015	0.0	0.0	0.027027	0.0163934	0.0176991	0.0482759	0.0586854	0.060423	0.0334728	0.0602837	0.0548303	0.048913	0.0073529	0.0	0.0	0.0	0.0	0.0	0.0	
Mallard	0.1339286	0.1382979	0.1310345	0.04	0.0521739	0.015625	0.0812183	0.0793651	0.0344828	0.1454545	0.1923077	0.4355828	0.3724138	0.4350649	0.5477707	0.530303	0.4779412	0.3490814	0.3404635	0.3975659	0.3907186	0.3320236	0.3034301	0.2073579	0.1828255	0.2591687	0.2430168	0.3054893	0.2461538	0.2673267	0.2724138	0.4	0.3540984	0.3834808	0.4827586	0.3755869	0.3172205	0.3284519	0.3971631	0.3603133	0.423913	0.375	0.2696629	0.3333333	0.3166667	0.3333333	0.2349398	0.13	
American Black Duck	0.0015	0.0319149	0.0344828	0.008	0.0173913	0.0015	0.0101523	0.0	0.0172414	0.0	0.025641	0.0981595	0.1034483	0.1298701	0.0636943	0.0666667	0.0147059	0.015748	0.0106952	0.020284	0.008982	0.0157171	0.0079156	0.0083612	0.0055402	0.00978	0.027933	0.0214797	0.0269231	0.0264026	0.0310345	0.0252252	0.0295082	0.0294985	0.037931	0.0469484	0.060423	0.0627615	0.0425532	0.0835509	0.0869565	0.0735294	0.1011236	0.0666667	0.0833333	0.0833333	0.0843373	0.0	
Mallard x American Black Duck (hybrid)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0064935	0.0	0.0060606	0.0	0.0026247	0.0035651	0.0	0.0	0.0	0.0	0.0	0.0027701	0.0	0.0	0.0	0.0038462	0.0	0.0	0.0018018	0.0065574	0.0	0.0	0.0046948	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Mallard/American Black Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001497	0.0	0.0	0.0	0.0027701	0.0	0.0	0.0	0.0	0.0033003	0.0	0.0018018	0.0	0.0	0.0034483	0.0046948	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Northern Pintail	0.0	0.0106383	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0128205	0.0368098	0.0551724	0.0909091	0.1210191	0.0787879	0.0661765	0.0131234	0.0017825	0.0020284	0.0	0.0	0.0	0.0016722	0.0	0.0	0.0	0.0	0.0	0.0	0.0068966	0.0036036	0.0098361	0.0088496	0.062069	0.0469484	0.0302115	0.0209205	0.0177305	0.002611	0.0	0.0073529	0.0	0.0	0.0	0.0	0.0	0.0	
Green-winged Teal	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0137931	0.0714286	0.1528662	0.1151515	0.1102941	0.0367454	0.0213904	0.005071	0.0134731	0.0078585	0.0026385	0.0	0.0	0.002445	0.0055866	0.0023866	0.0076923	0.0015	0.0310345	0.045045	0.0262295	0.0383481	0.062069	0.0610329	0.0332326	0.0230126	0.0957447	0.0496084	0.0326087	0.0073529	0.011236	0.0	0.0	0.0	0.0	0.0	
teal sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0064935	0.0127389	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0027701	0.0	0.0027933	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0070423	0.0030211	0.0020921	0.0	0.002611	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
