species,category,pattern_type,peak_frequency,min_frequency,min_max_ratio,weeks_with_presence,num_valleys,valleys,valley_types,is_overwintering,edge_case_flags
Short-eared Owl,vagrant,irregular,0.0015,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Northern Saw-whet Owl,single-season,summer,0.011194,0.0,0.0,11,1,21-16,winter,No,low_presence
Belted Kingfisher,single-season,summer,0.479508,0.0,0.0,30,1,38-12,winter,No,
Yellow-bellied Sapsucker,single-season,summer,0.144737,0.0,0.0,27,1,37-11,winter,No,
Red-headed Woodpecker,two-passage-migrant,two-passage,0.033708,0.0,0.0,15,2,20-36;39-14,summer|winter,No,classic_bimodal
Red-bellied Woodpecker,single-season,winter,0.2,0.0,0.0,47,2,19-29;31-37,summer|summer,No,overwintering|two_summer_valleys_merged
American Three-toed Woodpecker,vagrant,irregular,0.0015,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Black-backed Woodpecker,vagrant,irregular,0.041667,0.0,0.0,29,4,0-4;6-9;11-16;42-46,winter|winter|mixed|winter,No,many_valleys
Downy Woodpecker,single-season,winter,0.7,0.044248,0.0632,48,1,19-26,summer,No,overwintering
Hairy Woodpecker,resident,year-round,0.518518,0.080604,0.1555,48,0,,,No,seasonal_variation|min_max_near_boundary
Pileated Woodpecker,resident,year-round,0.291667,0.048193,0.1652,48,0,,,No,seasonal_variation|min_max_near_boundary
Northern Flicker,single-season,summer,0.483871,0.0,0.0,31,1,37-11,winter,No,
American Kestrel,single-season,summer,0.24,0.0,0.0,30,1,38-13,winter,No,
Merlin,two-passage-migrant,two-passage,0.125,0.0,0.0,31,2,5-11;41-3,winter|winter,No,separated_valleys
Gyrfalcon,vagrant,irregular,0.015873,0.0,0.0,1,1,12-10,winter,No,low_annual_presence
Peregrine Falcon,vagrant,irregular,0.025641,0.0,0.0,21,3,15-21;37-40;42-13,summer|mixed|winter,No,three_valleys_irregular
Olive-sided Flycatcher,single-season,summer,0.040302,0.0,0.0,14,1,31-18,winter,No,low_presence
Eastern Wood-Pewee,single-season,summer,0.180328,0.0,0.0,18,1,34-18,winter,No,
Yellow-bellied Flycatcher,single-season,summer,0.028417,0.0,0.0,17,1,33-17,winter,No,
Alder Flycatcher,single-season,summer,0.292191,0.0,0.0,16,1,30-18,winter,No,
Least Flycatcher,single-season,summer,0.155616,0.0,0.0,20,1,34-15,winter,No,
Eastern Phoebe,single-season,summer,0.217213,0.0,0.0,29,1,37-11,winter,No,
Great Crested Flycatcher,single-season,summer,0.109145,0.0,0.0,16,1,32-17,winter,No,
Western Kingbird,vagrant,irregular,0.033708,0.0,0.0,5,2,20-37;39-18,summer|winter,No,
Eastern Kingbird,single-season,summer,0.422287,0.0,0.0,18,1,33-17,winter,No,
Yellow-throated Vireo,vagrant,irregular,0.003846,0.0,0.0,4,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Blue-headed Vireo,single-season,summer,0.088496,0.0,0.0,23,1,36-15,winter,No,
Philadelphia Vireo,two-passage-migrant,two-passage,0.027064,0.0,0.0,11,2,21-28;34-17,summer|winter,No,classic_bimodal|low_presence
Eastern Warbling Vireo,single-season,summer,0.094231,0.0,0.0,17,1,33-17,winter,No,
Red-eyed Vireo,single-season,summer,0.59882,0.0,0.0,20,1,34-17,winter,No,
Loggerhead Shrike,vagrant,irregular,0.004902,0.0,0.0,2,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Northern Shrike,single-season,winter,0.134615,0.0,0.0,24,1,12-36,summer,Yes,overwintering
Canada Jay,two-passage-migrant,two-passage,0.0625,0.0,0.0,28,3,0-5;11-31;41-46,winter|summer|winter,No,three_valley_migrant
Blue Jay,resident,year-round,0.526316,0.098039,0.1863,48,0,,,No,seasonal_variation|min_max_near_boundary
American Crow,resident,year-round,0.619048,0.166667,0.2692,48,0,,,No,seasonal_variation
Common Raven,resident,year-round,0.538462,0.111111,0.2063,48,0,,,No,seasonal_variation
Black-capped Chickadee,resident,year-round,0.848485,0.263462,0.3105,48,0,,,No,seasonal_variation
Boreal Chickadee,vagrant,irregular,0.022222,0.0,0.0,8,3,0-4;6-36;38-46,winter|summer|winter,No,low_annual_presence
Horned Lark,single-season,summer,0.078652,0.0,0.0,16,1,44-33,winter,No,
Bank Swallow,two-passage-migrant,two-passage,0.032692,0.0,0.0,15,2,26-33;35-16,summer|winter,No,classic_bimodal
Tree Swallow,single-season,summer,0.243194,0.0,0.0,23,1,31-12,winter,No,
Purple Martin,vagrant,irregular,0.017699,0.0,0.0,13,1,28-17,winter,No,low_presence|low_annual_presence
Northern Rough-winged Swallow,single-season,summer,0.027692,0.0,0.0,17,1,29-15,winter,No,
Barn Swallow,single-season,summer,0.091445,0.0,0.0,18,1,31-14,winter,No,
Cliff Swallow,single-season,summer,0.017699,0.0,0.0,12,1,29-18,winter,No,low_presence
Ruby-crowned Kinglet,two-passage-migrant,two-passage,0.236842,0.0,0.0,27,2,21-34;38-13,summer|winter,No,classic_bimodal
Golden-crowned Kinglet,single-season,summer,0.243243,0.0,0.0,45,1,2-6,winter,No,
White-breasted Nuthatch,single-season,winter,0.444444,0.023599,0.0531,48,1,14-28,summer,No,overwintering
Red-breasted Nuthatch,resident,year-round,0.733333,0.142308,0.1941,48,0,,,No,seasonal_variation|min_max_near_boundary
Brown Creeper,resident,year-round,0.205882,0.0,0.0,45,0,,,No,seasonal_variation|min_max_near_boundary
Blue-gray Gnatcatcher,vagrant,irregular,0.023593,0.0,0.0,8,2,20-23;25-15,summer|winter,No,
Northern House Wren,single-season,summer,0.05954,0.0,0.0,19,1,33-15,winter,No,
Winter Wren,single-season,summer,0.126761,0.0,0.0,29,1,31-11,winter,No,
Sedge Wren,single-season,summer,0.120944,0.0,0.0,19,1,29-17,winter,No,
Marsh Wren,single-season,summer,0.053819,0.0,0.0,16,1,28-17,winter,No,
European Starling,resident,year-round,0.192308,0.0,0.0,47,0,,,No,seasonal_variation|min_max_near_boundary
Gray Catbird,vagrant,irregular,0.231394,0.0,0.0,24,2,36-40;42-16,mixed|winter,No,two_valleys_close
Brown Thrasher,two-passage-migrant,two-passage,0.110708,0.0,0.0,23,2,27-30;35-14,summer|winter,No,classic_bimodal
Northern Mockingbird,vagrant,irregular,0.00363,0.0,0.0,5,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Eastern Bluebird,two-passage-migrant,two-passage,0.157303,0.0,0.0,26,2,27-30;39-13,summer|winter,No,classic_bimodal
Mountain Bluebird,vagrant,irregular,0.05618,0.0,0.0,1,1,39-37,winter,No,low_annual_presence
Townsend's Solitaire,vagrant,irregular,0.023256,0.0,0.0,2,1,4-47,summer,No,low_annual_presence
Varied Thrush,vagrant,irregular,0.0015,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Veery,single-season,summer,0.08,0.0,0.0,16,1,30-17,winter,No,
Gray-cheeked Thrush,vagrant,irregular,0.006173,0.0,0.0,5,2,19-33;35-17,summer|winter,No,
Swainson's Thrush,single-season,summer,0.064615,0.0,0.0,20,1,36-17,winter,No,
Hermit Thrush,two-passage-migrant,two-passage,0.28,0.0,0.0,27,2,30-33;37-12,summer|winter,No,classic_bimodal
Wood Thrush,single-season,summer,0.069767,0.0,0.0,17,1,27-16,winter,No,
American Robin,single-season,summer,0.560472,0.0,0.0,44,1,43-5,winter,No,
Bohemian Waxwing,single-season,winter,0.106383,0.0,0.0,16,1,5-40,summer,Yes,overwintering
Cedar Waxwing,vagrant,irregular,0.538206,0.0,0.0,43,2,2-18;36-40,winter|mixed,No,two_valleys_same_season
House Sparrow,vagrant,irregular,0.041667,0.0,0.0,29,4,1-8;10-15;34-37;40-46,winter|mixed|summer|winter,No,many_valleys
Eurasian Tree Sparrow,vagrant,irregular,0.004902,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
American Pipit,two-passage-migrant,two-passage,0.094737,0.0,0.0,12,2,19-32;41-16,summer|winter,No,classic_bimodal|low_presence
Evening Grosbeak,two-passage-migrant,two-passage,0.15,0.0,0.0,43,2,18-38;42-45,summer|winter,No,classic_bimodal
Pine Grosbeak,single-season,winter,0.2,0.0,0.0,21,1,11-39,summer,Yes,overwintering
House Finch,single-season,winter,0.16,0.0,0.0,28,1,14-7,summer,No,overwintering
Purple Finch,resident,year-round,0.15,0.0015,0.01,48,0,,,No,seasonal_variation|min_max_near_boundary
Redpoll,vagrant,irregular,0.36,0.0,0.0,26,1,13-38,summer,Yes,overwintering|low_annual_presence
Red Crossbill,single-season,winter,0.05,0.0,0.0,33,2,21-26;31-37,summer|summer,No,overwintering|two_summer_valleys_merged
White-winged Crossbill,single-season,winter,0.151515,0.0,0.0,26,1,12-39,summer,No,overwintering
European Goldfinch,vagrant,irregular,0.004386,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Pine Siskin,single-season,winter,0.375,0.0059,0.0157,48,1,18-33,summer,No,overwintering
American Goldfinch,resident,year-round,0.382353,0.067416,0.1763,48,0,,,No,seasonal_variation|min_max_near_boundary
