Species,Jan_W1,Jan_W2,Jan_W3,Jan_W4,Feb_W1,Feb_W2,Feb_W3,Feb_W4,Mar_W1,Mar_W2,Mar_W3,Mar_W4,Apr_W1,Apr_W2,Apr_W3,Apr_W4,May_W1,May_W2,May_W3,May_W4,Jun_W1,Jun_W2,Jun_W3,Jun_W4,Jul_W1,Jul_W2,Jul_W3,Jul_W4,Aug_W1,Aug_W2,Aug_W3,Aug_W4,Sep_W1,Sep_W2,Sep_W3,Sep_W4,Oct_W1,Oct_W2,Oct_W3,Oct_W4,Nov_W1,Nov_W2,Nov_W3,Nov_W4,Dec_W1,Dec_W2,Dec_W3,Dec_W4
Ring-necked Duck,0.0171429,0.025641,0.0066667,0.0188679,0.0307692,0.0096154,0.0083682,0.019802,0.0152672,0.0277778,0.0573248,0.091195,0.1173913,0.0860927,0.1151316,0.0963855,0.0407725,0.018595,0.0240481,0.026648,0.0546875,0.0133333,0.038961,0.0095847,0.0105634,0.0119522,0.0037175,0.0112676,0.0050761,0.0173913,0.0115607,0.0395257,0.0236686,0.0357143,0.0208333,0.0253165,0.0254237,0.0535714,0.037037,0.0143885,0.0106383,0.025641,0.0294118,0.0111111,0.0015,0.0105263,0.0196078,0.0068027
Greater Scaup,0.0228571,0.017094,0.0,0.0314465,0.0692308,0.0288462,0.0041841,0.009901,0.0076336,0.0069444,0.0254777,0.0314465,0.0347826,0.0496689,0.0493421,0.0240964,0.0107296,0.0061983,0.0,0.0015,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0084388,0.0,0.0178571,0.0277778,0.0359712,0.0106383,0.0128205,0.0,0.0111111,0.0319149,0.0,0.0294118,0.0068027
Lesser Scaup,0.0,0.0015,0.0066667,0.0062893,0.0,0.0144231,0.0,0.0,0.0152672,0.0208333,0.0015,0.0314465,0.0521739,0.0331126,0.0953947,0.0903614,0.0257511,0.0041322,0.002004,0.0042076,0.0026042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052083,0.0084388,0.0254237,0.0178571,0.0185185,0.0359712,0.0106383,0.0128205,0.0294118,0.0,0.0106383,0.0,0.0196078,0.0068027
Harlequin Duck,0.0,0.0,0.0,0.0,0.0384615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0200803,0.0171674,0.0061983,0.012024,0.026648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Surf Scoter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0076336,0.0,0.0,0.0,0.0,0.0033113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0084388,0.0,0.0,0.0,0.0143885,0.0212766,0.0,0.0,0.0111111,0.0,0.0,0.0,0.0
White-winged Scoter,0.0,0.0,0.0,0.0,0.0,0.0048077,0.0,0.0,0.0152672,0.0069444,0.0127389,0.0062893,0.0015,0.0165563,0.0197368,0.0200803,0.0193133,0.0041322,0.0,0.002805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.0015,0.0357143,0.0277778,0.057554,0.0212766,0.0384615,0.0147059,0.0,0.0106383,0.0,0.0196078,0.0068027
Black Scoter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0178571,0.0092593,0.0215827,0.0,0.0128205,0.0,0.0,0.0,0.0,0.0,0.0
Long-tailed Duck,0.0,0.008547,0.0,0.0,0.0076923,0.0048077,0.0,0.0015,0.0076336,0.0208333,0.0191083,0.0220126,0.0043478,0.0264901,0.0328947,0.0481928,0.0450644,0.0165289,0.0240481,0.0154278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0277778,0.057554,0.0319149,0.0512821,0.0735294,0.0,0.0106383,0.0,0.0490196,0.0068027
Bufflehead,0.0114286,0.0,0.0133333,0.0,0.0230769,0.0096154,0.0083682,0.039604,0.0534351,0.0347222,0.0573248,0.1352201,0.2173913,0.2218543,0.3059211,0.253012,0.1459227,0.053719,0.012024,0.0042076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035714,0.0052083,0.0042194,0.0,0.0178571,0.0277778,0.0503597,0.106383,0.0769231,0.0882353,0.1111111,0.0319149,0.0315789,0.0686275,0.0136054
Common Goldeneye,0.1771429,0.2136752,0.1333333,0.1509434,0.2230769,0.2115385,0.1297071,0.1980198,0.221374,0.2430556,0.2866242,0.2672956,0.2695652,0.1788079,0.1348684,0.0843373,0.0257511,0.0082645,0.004008,0.0056101,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043478,0.0,0.0,0.0,0.0107143,0.0,0.0168776,0.0084746,0.0178571,0.0092593,0.0719424,0.0957447,0.1923077,0.2058824,0.1777778,0.1170213,0.0842105,0.2647059,0.2040816
Hooded Merganser,0.0228571,0.034188,0.02,0.0125786,0.0615385,0.0384615,0.0251046,0.039604,0.0610687,0.0694444,0.1082803,0.1163522,0.1434783,0.1523179,0.1151316,0.0702811,0.0536481,0.0454545,0.0360721,0.0196353,0.0338542,0.03,0.0032468,0.0095847,0.0246479,0.0199203,0.0334572,0.0225352,0.0253807,0.0826087,0.0115607,0.0237154,0.0414201,0.1071429,0.0260417,0.0337553,0.0423729,0.0535714,0.1388889,0.2446043,0.1914894,0.2564103,0.2941176,0.1555556,0.0851064,0.0526316,0.0784314,0.047619
